--------- beginning of /dev/log/main
09-15 14:27:07.630  3023  3023 W dalvikvm: VFY: unable to find class referenced in signature (Lorg/conscrypt/TrustManagerImpl;)
09-15 14:27:07.630  3023  3023 W dalvikvm: Unable to resolve superclass of Lorg/conscrypt/TrustManagerImpl; (305)
09-15 14:27:07.630  3023  3023 W dalvikvm: Link of class 'Lorg/conscrypt/TrustManagerImpl;' failed
09-15 14:27:07.630  3023  3023 I dalvikvm: Could not find method org.conscrypt.TrustManagerImpl.setHostnameVerifier, referenced from method org.conscrypt.Conscrypt.setHostnameVerifier
09-15 14:27:07.630  3023  3023 W dalvikvm: VFY: unable to resolve virtual method 3584: Lorg/conscrypt/TrustManagerImpl;.setHostnameVerifier (Lorg/conscrypt/ConscryptHostnameVerifier;)V
09-15 14:27:07.630  3023  3023 D dalvikvm: VFY: replacing opcode 0x6e at 0x0004
09-15 14:27:07.630  3023  3023 W dalvikvm: Unable to resolve superclass of Lorg/conscrypt/TrustManagerImpl; (305)
09-15 14:27:07.630  3023  3023 W dalvikvm: Link of class 'Lorg/conscrypt/TrustManagerImpl;' failed
09-15 14:27:07.630  3023  3023 E dalvikvm: Could not find class 'org.conscrypt.TrustManagerImpl', referenced from method org.conscrypt.Conscrypt.toConscrypt
09-15 14:27:07.630  3023  3023 W dalvikvm: VFY: unable to resolve check-cast 605 (Lorg/conscrypt/TrustManagerImpl;) in Lorg/conscrypt/Conscrypt;
09-15 14:27:07.630  3023  3023 D dalvikvm: VFY: replacing opcode 0x1f at 0x0007
09-15 14:27:07.700  3023  3027 D dalvikvm: GC_CONCURRENT freed 543K, 12% free 5657K/6384K, paused 2ms+4ms, total 29ms
09-15 14:27:07.700  3023  3023 D dalvikvm: WAIT_FOR_CONCURRENT_GC blocked 3ms
09-15 14:27:07.770  3023  3027 D dalvikvm: GC_CONCURRENT freed 145K, 6% free 6024K/6384K, paused 3ms+5ms, total 29ms
09-15 14:27:07.770  3023  3023 D dalvikvm: WAIT_FOR_CONCURRENT_GC blocked 1ms
09-15 14:27:07.810  3023  3027 D dalvikvm: GC_CONCURRENT freed 255K, 8% free 6167K/6656K, paused 2ms+1ms, total 22ms
09-15 14:27:07.810  3023  3023 D dalvikvm: WAIT_FOR_CONCURRENT_GC blocked 4ms
09-15 14:27:07.830  3023  3023 D dalvikvm: GC_FOR_ALLOC freed 189K, 9% free 6224K/6784K, paused 15ms, total 16ms
09-15 14:27:07.850  3023  3023 D dalvikvm: GC_FOR_ALLOC freed 211K, 9% free 6318K/6912K, paused 15ms, total 15ms
09-15 14:27:07.870  3023  3023 D dalvikvm: GC_FOR_ALLOC freed 92K, 8% free 6414K/6912K, paused 16ms, total 16ms
09-15 14:27:07.960  3023  3027 D dalvikvm: GC_CONCURRENT freed 206K, 6% free 6720K/7104K, paused 2ms+4ms, total 32ms
09-15 14:27:07.960  3023  3023 D dalvikvm: WAIT_FOR_CONCURRENT_GC blocked 1ms
09-15 14:27:08.030  3023  3027 D dalvikvm: GC_CONCURRENT freed 110K, 4% free 7124K/7412K, paused 2ms+2ms, total 35ms
09-15 14:27:08.030  3023  3023 D dalvikvm: WAIT_FOR_CONCURRENT_GC blocked 13ms
09-15 14:27:08.110  3023  3027 D dalvikvm: GC_CONCURRENT freed 383K, 8% free 7359K/7920K, paused 2ms+2ms, total 35ms
09-15 14:27:08.110  3023  3023 D dalvikvm: WAIT_FOR_CONCURRENT_GC blocked 9ms
09-15 14:27:08.200  3023  3027 D dalvikvm: GC_CONCURRENT freed 152K, 5% free 7886K/8220K, paused 2ms+2ms, total 39ms
09-15 14:27:08.200  3023  3023 D dalvikvm: WAIT_FOR_CONCURRENT_GC blocked 8ms
09-15 14:27:08.200  3023  3023 D dalvikvm: Trying to load lib /data/app-lib/com.andrerinas.headunitrevived-2/libconscrypt_jni.so 0x412032e0
09-15 14:27:08.210  3023  3023 D dalvikvm: Added shared lib /data/app-lib/com.andrerinas.headunitrevived-2/libconscrypt_jni.so 0x412032e0
09-15 14:27:08.210  3023  3023 V NativeCrypto: Registering org/conscrypt/NativeCrypto's 288 native methods...
09-15 14:27:08.220  3023  3023 E dalvikvm: Could not find class 'javax.net.ssl.SNIServerName', referenced from method org.conscrypt.Platform.getSniHostnameFromParams
